name, republican voters, democratic voters, total voters, population, turnout
"Harrison, Indiana","12993","4776","18528","39826","0.4652"
"Hendricks, Indiana","48326","22595","75258","160610","0.4686"
"Henry, Indiana","13895","5124","20075","48521","0.4137"
"Howard, Indiana","23675","11215","36754","82568","0.4451"
"Huntington, Indiana","11649","3506","15974","36400","0.4388"
"Jackson, Indiana","12857","3843","17532","44013","0.3983"
"Jasper, Indiana","9382","3329","13331","33433","0.3987"
"Jay, Indiana","5697","1889","7962","21046","0.3783"
"Jefferson, Indiana","8538","4325","13461","32418","0.4152"
"Jennings, Indiana","8222","2364","11115","27758","0.4004"
"Johnson, Indiana","45456","17318","66229","151982","0.4358"
"Knox, Indiana","11077","3772","15483","37744","0.4102"
"Kosciusko, Indiana","23909","6311","31907","79092","0.4034"
"LaGrange, Indiana","7025","2080","9552","39110","0.2442"
"Lake, Indiana","75565","116896","200247","485846","0.4122"
"LaPorte, Indiana","22678","19795","44994","110015","0.4090"
"Lawrence, Indiana","14034","4210","19076","45518","0.4191"
"Madison, Indiana","32376","18595","53660","129296","0.4150"
"Marion, Indiana","130228","212676","361070","941229","0.3836"
"Marshall, Indiana","12286","4798","18008","46556","0.3868"
"Martin, Indiana","3695","881","4807","10171","0.4726"
"Miami, Indiana","9975","2766","13440","35883","0.3746"
"Monroe, Indiana","20527","34183","57623","145496","0.3960"
"Montgomery, Indiana","11051","3362","15101","38074","0.3966"
"Morgan, Indiana","23671","6037","31180","69698","0.4474"
"Newton, Indiana","4074","1403","5791","13924","0.4159"
"Noble, Indiana","12198","3904","16890","47638","0.3545"
"Ohio, Indiana","2118","686","2917","5932","0.4917"
"Orange, Indiana","5800","2048","8189","19335","0.4235"
"Owen, Indiana","6151","1946","8520","20840","0.4088"
"Parke, Indiana","4863","1441","6576","16800","0.3914"
"Perry, Indiana","4556","3062","8025","18966","0.4231"
"Pike, Indiana","4398","1297","5977","12431","0.4808"
"Porter, Indiana","38719","33531","76492","167791","0.4559"
"Posey, Indiana","8393","3515","12448","25476","0.4886"
"Pulaski, Indiana","3854","1327","5437","12660","0.4295"
"Putnam, Indiana","10637","3356","14680","37436","0.3921"
"Randolph, Indiana","7515","2446","10456","25082","0.4169"
"Ripley, Indiana","9806","2471","12790","28846","0.4434"
"Rush, Indiana","5292","1525","7214","16649","0.4333"
"Scott, Indiana","6074","2642","9060","23730","0.3818"
"Shelby, Indiana","12718","4247","17935","44324","0.4046"
"Spencer, Indiana","6572","2861","9959","20648","0.4823"
"St. Joseph, Indiana","52019","52247","109452","269141","0.4067"
"Starke, Indiana","6367","2489","9226","23009","0.4010"
"Steuben, Indiana","10127","3741","14530","34116","0.4259"
"Sullivan, Indiana","6138","2113","8559","20802","0.4115"
"Switzerland, Indiana","2558","930","3639","10527","0.3457"
"Tippecanoe, Indiana","30711","27207","61916","188059","0.3292"
"Tipton, Indiana","5589","1587","7510","15182","0.4947"
"Union, Indiana","2445","715","3286","7212","0.4556"
"Vanderburgh, Indiana","40422","28296","71957","181721","0.3960"
"Vermillion, Indiana","4511","2081","6913","15645","0.4419"
"Vigo, Indiana","21924","15922","39569","107931","0.3666"
"Wabash, Indiana","9819","3018","13415","31762","0.4224"
"Warren, Indiana","2896","839","3919","8166","0.4799"
"Warrick, Indiana","19133","9086","29609","62498","0.4738"
"Washington, Indiana","8206","2636","11333","27670","0.4096"
"Wayne, Indiana","16028","8322","25575","66568","0.3842"
"Wells, Indiana","9999","2585","13123","27949","0.4695"
"White, Indiana","6813","2563","9902","23999","0.4126"
"Whitley, Indiana","11357","3379","15535","33449","0.4644"
"Allen, Kansas","3575","1398","5314","12714","0.4180"
"Anderson, Kansas","2386","665","3277","7827","0.4187"
"Atchison, Kansas","3977","1946","6393","16380","0.3903"
"Barber, Kansas","1822","281","2209","4688","0.4712"
"Barton, Kansas","7766","1823","10088","26775","0.3768"
"Bourbon, Kansas","4314","1306","5918","14617","0.4049"
"Brown, Kansas","2861","850","3960","9684","0.4089"
"Butler, Kansas","18781","6489","27051","67025","0.4036"
"Chase, Kansas","964","313","1342","2669","0.5028"
"Chautauqua, Kansas","1552","236","1845","3374","0.5468"
"Cherokee, Kansas","6017","1959","8386","20246","0.4142"
"Cheyenne, Kansas","1172","188","1409","2661","0.5295"
"Clark, Kansas","813","118","983","2072","0.4744"
"Clay, Kansas","2831","665","3727","8143","0.4577"
"Cloud, Kansas","2856","744","3831","9150","0.4187"
"Coffey, Kansas","2990","719","3962","8433","0.4698"
"Comanche, Kansas","705","102","857","1862","0.4603"
"Cowley, Kansas","8016","3436","12171","35753","0.3404"
"Crawford, Kansas","8394","5064","14404","39164","0.3678"
"Decatur, Kansas","1220","178","1460","2832","0.5155"
"Dickinson, Kansas","5905","1582","8008","19064","0.4201"
"Doniphan, Kansas","2601","584","3366","7664","0.4392"
"Douglas, Kansas","14308","30089","48231","119440","0.4038"
"Edwards, Kansas","1033","208","1308","2938","0.4452"
"Elk, Kansas","1048","160","1259","2547","0.4943"
"Ellis, Kansas","8311","2669","11660","28893","0.4036"
"Ellsworth, Kansas","1933","515","2626","6328","0.4150"
"Finney, Kansas","6155","3006","9731","36722","0.2650"
"Ford, Kansas","4994","2032","7425","33971","0.2186"
"Franklin, Kansas","7025","2829","10658","25560","0.4170"
"Geary, Kansas","4116","2569","7129","35586","0.2003"
"Gove, Kansas","1127","149","1328","2589","0.5129"
"Graham, Kansas","1013","185","1265","2564","0.4934"
"Grant, Kansas","1755","427","2311","7646","0.3022"
"Gray, Kansas","1651","257","2011","6034","0.3333"
"Greeley, Kansas","523","83","639","1296","0.4931"
"Greenwood, Kansas","2146","484","2811","6151","0.4570"
"Hamilton, Kansas","690","114","847","2536","0.3340"
"Harper, Kansas","1950","388","2513","5685","0.4420"
"Harvey, Kansas","8503","5006","14540","34913","0.4165"
"Haskell, Kansas","1011","228","1300","4006","0.3245"
"Hodgeman, Kansas","845","124","1006","1870","0.5380"
"Jackson, Kansas","3888","1489","5727","13291","0.4309"
"Jefferson, Kansas","5112","2483","8151","18897","0.4313"
"Jewell, Kansas","1204","180","1483","2901","0.5112"
"Johnson, Kansas","133907","126324","279753","584451","0.4787"
"Kearny, Kansas","1048","224","1325","3917","0.3383"
"Kingman, Kansas","2507","594","3281","7467","0.4394"
"Kiowa, Kansas","855","111","1023","2483","0.4120"
"Labette, Kansas","5232","2234","7919","20444","0.3874"
"Lane, Kansas","684","104","831","1636","0.5079"
"Leavenworth, Kansas","17387","10064","29676","80204","0.3700"
"Lincoln, Kansas","1168","214","1448","3073","0.4712"
"Linn, Kansas","3377","721","4279","9558","0.4477"
"Logan, Kansas","1124","149","1348","2831","0.4762"
"Lyon, Kansas","6354","4456","11745","33510","0.3505"
"Marion, Kansas","3928","1177","5465","12112","0.4512"
"Marshall, Kansas","3250","1060","4578","9836","0.4654"
"McPherson, Kansas","8407","3183","12443","28804","0.4320"
"Meade, Kansas","1390","206","1675","4216","0.3973"
"Miami, Kansas","9839","3949","14712","32964","0.4463"
"Mitchell, Kansas","2216","469","2824","6243","0.4523"
"Montgomery, Kansas","8466","2557","11623","32746","0.3549"
"Morris, Kansas","1790","586","2568","5573","0.4608"
"Morton, Kansas","970","145","1160","2848","0.4073"
"Nemaha, Kansas","4066","714","5025","10241","0.4907"
"Neosho, Kansas","4340","1464","6151","16146","0.3810"
"Ness, Kansas","1216","160","1435","2962","0.4845"
"Norton, Kansas","1808","277","2190","5493","0.3987"
"Osage, Kansas","4713","1730","6894","15843","0.4351"
"Osborne, Kansas","1437","231","1753","3642","0.4813"
"Ottawa, Kansas","2261","424","2866","5920","0.4841"
"Pawnee, Kansas","1872","567","2602","6743","0.3859"
"Phillips, Kansas","2200","296","2611","5428","0.4810"
"Pottawatomie, Kansas","7451","2191","10359","23661","0.4378"
"Pratt, Kansas","2824","769","3806","9584","0.3971"
"Rawlins, Kansas","1209","160","1448","2549","0.5681"
"Reno, Kansas","15100","6670","23448","63220","0.3709"
"Republic, Kansas","1993","370","2484","4699","0.5286"
"Rice, Kansas","2652","668","3567","9831","0.3628"
"Riley, Kansas","9817","8892","20475","73343","0.2792"
"Rooks, Kansas","1999","273","2378","5076","0.4685"
"Rush, Kansas","1177","227","1474","3058","0.4820"
"Russell, Kansas","2544","454","3148","6988","0.4505"
"Saline, Kansas","13367","6084","21206","55142","0.3846"
"Scott, Kansas","1832","232","2159","5032","0.4291"
"Sedgwick, Kansas","101319","66716","180750","511995","0.3530"
"Seward, Kansas","3025","1491","4743","22709","0.2089"
"Shawnee, Kansas","35349","33270","73648","178146","0.4134"
"Sheridan, Kansas","1186","126","1362","2509","0.5428"
"Sherman, Kansas","2043","340","2537","5965","0.4253"
"Smith, Kansas","1635","295","2014","3632","0.5545"
"Stafford, Kansas","1485","303","1884","4208","0.4477"
"Stanton, Kansas","580","132","742","2062","0.3598"
"Stevens, Kansas","1564","215","1853","5584","0.3318"
"Sumner, Kansas","6844","2039","9494","23272","0.4080"
"Thomas, Kansas","2832","467","3483","7892","0.4413"
"Trego, Kansas","1211","193","1459","2872","0.5080"
"Wabaunsee, Kansas","2358","773","3340","6891","0.4847"
"Wallace, Kansas","711","45","779","1497","0.5204"
"Washington, Kansas","2136","378","2677","5546","0.4827"
"Wichita, Kansas","765","139","934","2112","0.4422"
"Wilson, Kansas","2747","550","3482","8723","0.3992"
"Woodson, Kansas","1063","270","1420","3165","0.4487"
"Wyandotte, Kansas","15520","29346","47467","163831","0.2897"
"Adair, Kentucky","6637","1323","8228","19280","0.4268"
"Allen, Kentucky","6466","1349","8085","20631","0.3919"
"Anderson, Kentucky","8242","2634","11414","22158","0.5151"
"Ballard, Kentucky","3161","816","4097","8054","0.5087"
"Barren, Kentucky","13483","4275","18473","43993","0.4199"
"Bath, Kentucky","3082","1361","4577","12327","0.3713"
"Bell, Kentucky","7764","1720","9714","27117","0.3582"
"Boone, Kentucky","39082","15026","57550","128536","0.4477"
"Bourbon, Kentucky","5569","2791","8791","20030","0.4389"
"Boyd, Kentucky","13591","6021","20443","48132","0.4247"
"Boyle, Kentucky","8040","4281","12928","30018","0.4307"
"Bracken, Kentucky","2711","705","3522","8400","0.4193"
"Breathitt, Kentucky","3991","1537","5728","13284","0.4312"
"Breckinridge, Kentucky","6484","1960","8765","19961","0.4391"
"Bullitt, Kentucky","26210","8255","36036","79151","0.4553"
"Butler, Kentucky","4428","947","5575","12845","0.4340"
"Caldwell, Kentucky","4507","1260","5972","12568","0.4752"
"Calloway, Kentucky","10367","4749","16039","38437","0.4173"
"Campbell, Kentucky","25050","14658","42471","92211","0.4606"
"Carlisle, Kentucky","2094","432","2599","4855","0.5353"
"Carroll, Kentucky","2588","1106","3851","10679","0.3606"
"Carter, Kentucky","7587","2276","10267","27046","0.3796"
"Casey, Kentucky","5482","767","6438","15815","0.4071"
"Christian, Kentucky","14108","7188","22069","72351","0.3050"
"Clark, Kentucky","10710","4706","16193","35819","0.4521"
"Clay, Kentucky","5861","752","6762","20766","0.3256"
"Clinton, Kentucky","3809","547","4454","10177","0.4377"
"Crittenden, Kentucky","3290","617","4036","9188","0.4393"
"Cumberland, Kentucky","2502","459","3061","6738","0.4543"
"Daviess, Kentucky","28907","14163","45752","99674","0.4590"
"Edmonson, Kentucky","4135","979","5239","12114","0.4325"
"Elliott, Kentucky","2000","740","2847","7588","0.3752"
"Estill, Kentucky","4236","1108","5538","14307","0.3871"
"Fayette, Kentucky","56890","69776","136112","318449","0.4274"
"Fleming, Kentucky","4722","1348","6250","14507","0.4308"
"Floyd, Kentucky","11993","4015","16521","37110","0.4452"
"Franklin, Kentucky","11819","10717","23840","50560","0.4715"
"Fulton, Kentucky","1549","774","2381","6179","0.3853"
"Gallatin, Kentucky","2443","749","3334","8609","0.3873"
"Garrard, Kentucky","5904","1453","7613","17292","0.4403"
"Grant, Kentucky","7268","1910","9551","24923","0.3832"
"Graves, Kentucky","12671","3308","16582","37182","0.4460"
"Grayson, Kentucky","8219","1959","10564","26184","0.4035"
"Green, Kentucky","4372","832","5331","11060","0.4820"
"Greenup, Kentucky","11546","4146","16265","35893","0.4532"
"Hancock, Kentucky","2788","1244","4292","8810","0.4872"
"Hardin, Kentucky","26970","13944","43113","107316","0.4017"
"Harlan, Kentucky","9129","1372","10744","27168","0.3955"
"Harrison, Kentucky","5435","2031","7774","18646","0.4169"
"Hart, Kentucky","5320","1730","7261","18627","0.3898"
"Henderson, Kentucky","12159","6707","19692","46253","0.4257"
"Henry, Kentucky","4944","1828","7142","15818","0.4515"
"Hickman, Kentucky","1657","449","2157","4627","0.4662"
"Hopkins, Kentucky","15277","4310","20325","45904","0.4428"
"Jackson, Kentucky","4889","482","5497","13368","0.4112"
"Jefferson, Kentucky","143758","190824","352778","765352","0.4609"
"Jessamine, Kentucky","15474","6144","23292","52357","0.4449"
"Johnson, Kentucky","8043","1250","9560","22978","0.4161"
"Kenton, Kentucky","42958","24213","71905","164945","0.4359"
"Knott, Kentucky","4357","1245","5756","15544","0.3703"
"Knox, Kentucky","9885","1761","12001","31687","0.3787"
"Larue, Kentucky","4799","1278","6359","14096","0.4511"
"Laurel, Kentucky","20592","3440","24811","60250","0.4118"
"Lawrence, Kentucky","4816","1045","6037","15863","0.3806"
"Lee, Kentucky","2151","444","2663","6580","0.4047"
"Leslie, Kentucky","4015","400","4487","10538","0.4258"
"Letcher, Kentucky","7293","1542","9131","22773","0.4010"
"Lewis, Kentucky","4363","785","5293","13442","0.3938"
"Lincoln, Kentucky","7338","1865","9555","24372","0.3920"
"Livingston, Kentucky","3570","887","4642","9269","0.5008"
"Logan, Kentucky","7778","2755","10896","26593","0.4097"
"Lyon, Kentucky","2789","1045","3959","8069","0.4906"
"Madison, Kentucky","23431","11793","37318","89547","0.4167"
"Magoffin, Kentucky","3824","1172","5113","12684","0.4031"
"Marion, Kentucky","5122","2679","8108","19205","0.4222"
"Marshall, Kentucky","12322","3672","16678","31365","0.5317"
"Martin, Kentucky","3503","363","3951","12002","0.3292"
"Mason, Kentucky","4944","1970","7212","17190","0.4195"
"McCracken, Kentucky","20774","9134","31284","65162","0.4801"
"McCreary, Kentucky","5012","664","5772","17511","0.3296"
"McLean, Kentucky","3381","988","4565","9475","0.4818"
"Meade, Kentucky","8660","3026","12223","28126","0.4346"
"Menifee, Kentucky","2010","700","2779","6408","0.4337"
"Mercer, Kentucky","7740","2395","10579","21477","0.4926"
"Metcalfe, Kentucky","3491","976","4616","10018","0.4608"
"Monroe, Kentucky","4278","601","4991","10588","0.4714"
"Montgomery, Kentucky","7856","3158","11437","27771","0.4118"
"Morgan, Kentucky","3628","1006","4766","13298","0.3584"
"Muhlenberg, Kentucky","9393","3272","13046","31028","0.4205"
"Nelson, Kentucky","13430","6434","20761","45559","0.4557"
"Nicholas, Kentucky","1957","787","2837","7084","0.4005"
"Ohio, Kentucky","7942","2080","10398","24378","0.4265"
"Oldham, Kentucky","20469","10268","32838","65560","0.5009"
"Owen, Kentucky","3745","1062","4997","10642","0.4696"
"Owsley, Kentucky","1474","256","1757","4491","0.3912"
"Pendleton, Kentucky","4604","1164","6006","14560","0.4125"
"Perry, Kentucky","8158","2136","10566","27343","0.3864"
"Pike, Kentucky","19740","4277","24637","60555","0.4069"
"Powell, Kentucky","3513","1272","4952","12308","0.4023"
"Pulaski, Kentucky","22900","4208","28015","63956","0.4380"
"Robertson, Kentucky","759","222","1013","2155","0.4701"
"Rockcastle, Kentucky","5609","915","6686","16850","0.3968"
"Rowan, Kentucky","5174","3295","8829","24451","0.3611"
"Russell, Kentucky","6863","1093","8171","17722","0.4611"
"Scott, Kentucky","15052","7713","24159","53972","0.4476"
"Shelby, Kentucky","13196","6276","20563","46408","0.4431"
"Simpson, Kentucky","5077","2144","7524","18083","0.4161"
"Spencer, Kentucky","7196","1921","9509","18274","0.5204"
"Taylor, Kentucky","8320","2553","11301","25397","0.4450"
"Todd, Kentucky","3612","1042","4771","12295","0.3880"
"Trigg, Kentucky","4928","1587","6740","14264","0.4725"
"Trimble, Kentucky","2771","879","3786","8620","0.4392"
"Union, Kentucky","4701","1331","6209","14880","0.4173"
"Warren, Kentucky","28673","16966","48416","125532","0.3857"
"Washington, Kentucky","4013","1420","5621","12189","0.4612"
"Wayne, Kentucky","6370","1431","7988","20453","0.3906"
"Webster, Kentucky","4397","1240","5804","13316","0.4359"
"Whitley, Kentucky","11312","2067","13765","36096","0.3813"
"Wolfe, Kentucky","1804","753","2634","7159","0.3679"
"Woodford, Kentucky","7697","4958","13547","26124","0.5186"
"Acadia Parish, Louisiana","21159","5638","27386","62645","0.4372"
"Allen Parish, Louisiana","6867","2106","9245","25684","0.3600"
"Ascension Parish, Louisiana","36135","16471","54663","121587","0.4496"
"Assumption Parish, Louisiana","6714","3931","10904","22695","0.4805"
"Avoyelles Parish, Louisiana","11163","5032","16581","41117","0.4033"
"Beauregard Parish, Louisiana","12238","2393","15078","36927","0.4083"
"Bienville Parish, Louisiana","3756","3129","7005","13865","0.5052"
"Bossier Parish, Louisiana","35451","12638","49818","126057","0.3952"
"Caddo Parish, Louisiana","48977","53448","105737","248851","0.4249"
"Calcasieu Parish, Louisiana","54182","26293","83773","200601","0.4176"
"Caldwell Parish, Louisiana","3822","788","4692","10087","0.4652"
"Cameron Parish, Louisiana","3256","323","3692","6882","0.5365"
"Catahoula Parish, Louisiana","3479","1322","4856","9921","0.4895"
"Claiborne Parish, Louisiana","3585","2717","6421","16132","0.3980"
"Concordia Parish, Louisiana","5474","3272","8869","19920","0.4452"
"De Soto Parish, Louisiana","8067","5163","13497","27149","0.4971"
"East Baton Rouge Parish, Louisiana","84620","102711","196332","447037","0.4392"
"East Carroll Parish, Louisiana","1059","1838","2939","7271","0.4042"
"East Feliciana Parish, Louisiana","5569","4235","10042","19683","0.5102"
"Evangeline Parish, Louisiana","10357","4208","14879","33709","0.4414"
"Franklin Parish, Louisiana","6514","2506","9162","20330","0.4507"
"Grant Parish, Louisiana","7406","1181","8819","22365","0.3943"
"Iberia Parish, Louisiana","20903","10698","32454","73273","0.4429"
"Iberville Parish, Louisiana","7320","8324","16043","32920","0.4873"
"Jackson Parish, Louisiana","5169","2139","7464","15808","0.4722"
"Jefferson Parish, Louisiana","100292","73540","181388","436523","0.4155"
"Jefferson Davis Parish, Louisiana","10775","3080","14277","31413","0.4545"
"Lafayette Parish, Louisiana","68191","32726","105599","241398","0.4374"
"Lafourche Parish, Louisiana","31958","8423","41644","98305","0.4236"
"La Salle Parish, Louisiana","5835","605","6568","15052","0.4364"
"Lincoln Parish, Louisiana","10761","7102","18664","47745","0.3909"
"Livingston Parish, Louisiana","48797","6950","57700","140138","0.4117"
"Madison Parish, Louisiana","1927","2744","4732","11528","0.4105"
"Morehouse Parish, Louisiana","6502","5155","11852","26071","0.4546"
"Natchitoches Parish, Louisiana","8965","7143","16617","39162","0.4243"
"Orleans Parish, Louisiana","24267","133833","165619","391495","0.4230"
"Ouachita Parish, Louisiana","41712","24420","67987","156983","0.4331"
"Plaquemines Parish, Louisiana","6900","3347","10572","23464","0.4506"
"Pointe Coupee Parish, Louisiana","6789","4764","11761","22159","0.5308"
"Rapides Parish, Louisiana","36814","18318","56838","132424","0.4292"
"Red River Parish, Louisiana","2391","1938","4422","8550","0.5172"
"Richland Parish, Louisiana","6286","3157","9596","20430","0.4697"
"Sabine Parish, Louisiana","7877","1703","9785","23977","0.4081"
"St. Bernard Parish, Louisiana","10232","4957","15807","45688","0.3460"
"St. Charles Parish, Louisiana","16620","8558","26190","52923","0.4949"
"St. Helena Parish, Louisiana","2497","3353","5964","10512","0.5674"
"St. James Parish, Louisiana","5456","6418","12085","21557","0.5606"
"St. John the Baptist Parish, Louisiana","7569","12658","20740","43631","0.4754"
"St. Landry Parish, Louisiana","21966","17208","39970","83883","0.4765"
"St. Martin Parish, Louisiana","16872","8266","25749","54007","0.4768"
"St. Mary Parish, Louisiana","14353","8050","22871","52093","0.4390"
"St. Tammany Parish, Louisiana","90914","27716","124389","253602","0.4905"
"Tangipahoa Parish, Louisiana","33933","16869","52381","130710","0.4007"
"Tensas Parish, Louisiana","1180","1329","2543","4597","0.5532"
"Terrebonne Parish, Louisiana","31900","10664","43893","113220","0.3877"
"Union Parish, Louisiana","7972","2691","10894","22487","0.4845"
"Vermilion Parish, Louisiana","19807","4745","25253","60205","0.4195"
"Vernon Parish, Louisiana","13471","2665","16633","50569","0.3289"
"Washington Parish, Louisiana","12552","5690","18622","46310","0.4021"
"Webster Parish, Louisiana","11538","6259","18140","39710","0.4568"
"West Baton Rouge Parish, Louisiana","6926","5382","12710","25795","0.4927"
"West Carroll Parish, Louisiana","3970","715","4759","11114","0.4282"
"West Feliciana Parish, Louisiana","3390","2247","5798","15344","0.3779"
"Winn Parish, Louisiana","4605","1643","6368","14376","0.4430"
"Barnstable, Massachusetts","53842","71632","132667","214276","0.6191"
"Berkshire, Massachusetts","16799","43540","64507","126903","0.5083"
"Bristol, Massachusetts","104775","127619","246068","558324","0.4407"
"Dukes, Massachusetts","2474","8338","11434","17246","0.6630"
"Essex, Massachusetts","135405","220027","376140","779018","0.4828"
"Franklin, Massachusetts","10327","24369","37987","70382","0.5397"
"Hampden, Massachusetts","78230","110313","200220","468467","0.4274"
"Hampshire, Massachusetts","22089","54572","82329","161816","0.5088"
"Middlesex, Massachusetts","216163","508919","767337","1589774","0.4827"
"Nantucket, Massachusetts","1892","4144","6404","11008","0.5818"
"Norfolk, Massachusetts","119171","219129","357781","697181","0.5132"
"Plymouth, Massachusetts","114722","133828","264168","513565","0.5144"
"Suffolk, Massachusetts","50042","241212","303517","784230","0.3870"
"Worcester, Massachusetts","157138","197126","380972","819589","0.4648"
"Allegany, Maryland","20025","6665","27804","72130","0.3855"
"Anne Arundel, Maryland","114509","116074","242939","568346","0.4274"
"Baltimore, Maryland","131009","189437","335017","831026","0.4031"
"Baltimore city, Maryland","22726","178562","208980","614664","0.3400"
"Calvert, Maryland","24680","16669","43445","91251","0.4761"
"Caroline, Maryland","8999","3747","13282","32850","0.4043"
"Carroll, Maryland","55593","24314","84879","167656","0.5063"
"Cecil, Maryland","27579","12651","42309","102603","0.4124"
"Charles, Maryland","24163","46063","72480","157705","0.4596"
"Dorchester, Maryland","7938","5695","14034","32258","0.4351"
"Frederick, Maryland","56472","51891","114962","247591","0.4643"
"Garrett, Maryland","10189","2252","12905","29425","0.4386"
"Harford, Maryland","74261","43803","124224","251032","0.4949"
"Howard, Maryland","44792","93808","146401","317233","0.4615"
"Kent, Maryland","4598","4178","9166","19730","0.4646"
"Montgomery, Maryland","82985","309761","408300","1043863","0.3911"
"Prince George's, Maryland","29290","313627","351091","908049","0.3866"
"Queen Anne's, Maryland","16211","7316","24633","48929","0.5034"
"Somerset, Maryland","5056","3484","8768","25928","0.3382"
"St. Mary's, Maryland","26889","15786","45169","112587","0.4012"
"Talbot, Maryland","10098","7865","18731","37278","0.5025"
"Washington, Maryland","38842","19193","60731","150292","0.4041"
"Wicomico, Maryland","20832","16327","38722","102577","0.3775"
"Worcester, Maryland","15910","8783","25571","51444","0.4971"
"Androscoggin, Maine","28189","22975","55340","107319","0.5157"
"Aroostook, Maine","19419","13377","34963","67959","0.5145"
"Cumberland, Maine","57697","102935","171249","292041","0.5864"
"Franklin, Maine","7900","7001","16382","30001","0.5460"
"Hancock, Maine","13682","16107","31983","54419","0.5877"
"Kennebec, Maine","31753","29296","65999","120569","0.5474"
"Knox, Maine","9148","12440","23021","39744","0.5792"
"Lincoln, Maine","9727","10241","21432","34216","0.6264"
"Oxford, Maine","16214","12172","31094","57217","0.5434"
"Penobscot, Maine","41601","32832","80228","151806","0.5285"
"Piscataquis, Maine","5403","3098","9144","16843","0.5429"
"Sagadahoc, Maine","9304","10679","21596","35273","0.6123"
"Somerset, Maine","14998","9092","25968","50915","0.5100"
"Waldo, Maine","10378","10442","22630","39364","0.5749"
"Washington, Maine","9037","6358","16559","31450","0.5265"
"York, Maine","50388","55828","113962","202343","0.5632"
"Alcona, Michigan","4201","1732","6179","10352","0.5969"
"Alger, Michigan","2585","1663","4513","9219","0.4895"
"Allegan, Michigan","33812","17932","55153","115548","0.4773"
"Alpena, Michigan","9090","4877","14688","28704","0.5117"
"Antrim, Michigan","8469","4448","13572","23144","0.5864"
"Arenac, Michigan","4704","2238","7457","15122","0.4931"
"Baraga, Michigan","2158","1156","3486","8503","0.4100"
"Barry, Michigan","19197","9109","30265","59702","0.5069"
"Bay, Michigan","28327","21641","52932","104747","0.5053"
"Benzie, Michigan","5539","4108","10221","17572","0.5817"
"Berrien, Michigan","38646","29496","71882","154010","0.4667"
"Branch, Michigan","11025","4740","16490","43427","0.3797"
"Calhoun, Michigan","31489","24154","58786","134386","0.4374"
"Cass, Michigan","14241","7270","23272","51599","0.4510"
"Charlevoix, Michigan","8674","5137","14567","26174","0.5565"
"Cheboygan, Michigan","8680","4302","13647","25401","0.5373"
"Chippewa, Michigan","9120","5378","15434","37724","0.4091"
"Clare, Michigan","8507","4250","13385","30358","0.4409"
"Clinton, Michigan","21635","16490","40564","77888","0.5208"
"Crawford, Michigan","4354","2110","6833","13744","0.4972"
"Delta, Michigan","11112","6431","18467","36202","0.5101"
"Dickinson, Michigan","8580","3923","13140","25535","0.5146"
"Eaton, Michigan","27608","24534","55686","109160","0.5101"
"Emmet, Michigan","10616","6972","18774","33182","0.5658"
"Genesee, Michigan","84174","102744","196135","408615","0.4800"
"Gladwin, Michigan","8124","3794","12472","25122","0.4965"
"Gogebic, Michigan","4019","2925","7313","15243","0.4798"
"Grand Traverse, Michigan","27412","20964","51460","92084","0.5588"
"Gratiot, Michigan","9878","5665","16442","41202","0.3991"
"Hillsdale, Michigan","14094","4799","19880","45774","0.4343"
"Houghton, Michigan","8475","6018","15623","36555","0.4274"
"Huron, Michigan","10629","4579","15848","31481","0.5034"
"Ingham, Michigan","44354","81266","133478","288051","0.4634"
"Ionia, Michigan","16374","8206","26364","64232","0.4104"
"Iosco, Michigan","8344","4344","13349","25327","0.5271"
"Iron, Michigan","3675","2004","5910","11195","0.5279"
"Isabella, Michigan","12338","11404","25344","71282","0.3555"
"Jackson, Michigan","39793","25795","69567","158460","0.4390"
"Kalamazoo, Michigan","51031","67142","125966","261654","0.4814"
"Kalkaska, Michigan","6213","2279","8920","17263","0.5167"
"Kent, Michigan","147959","138567","306270","642173","0.4769"
"Keweenaw, Michigan","814","527","1429","2199","0.6498"
"Lake, Michigan","3159","1939","5328","11496","0.4635"
"Lapeer, Michigan","30037","12734","45126","88340","0.5108"
"Leelanau, Michigan","7239","6774","14757","21765","0.6780"
"Lenawee, Michigan","26428","16750","45895","98504","0.4659"
"Livingston, Michigan","65665","34378","105577","188624","0.5597"
"Luce, Michigan","1756","681","2576","6358","0.4052"
"Mackinac, Michigan","3740","2085","6088","10820","0.5627"
"Macomb, Michigan","224589","176238","418773","867730","0.4826"
"Manistee, Michigan","6915","4979","12598","24373","0.5169"
"Marquette, Michigan","14646","16042","32897","66435","0.4952"
"Mason, Michigan","8505","5281","14658","28876","0.5076"
"Mecosta, Michigan","10305","5827","17149","43221","0.3968"
"Menominee, Michigan","6704","3539","10765","23281","0.4624"
"Midland, Michigan","23877","15655","42379","83462","0.5078"
"Missaukee, Michigan","5386","1565","7301","15102","0.4834"
"Monroe, Michigan","43255","26859","74101","149208","0.4966"
"Montcalm, Michigan","16907","7874","26556","62974","0.4217"
"Montmorency, Michigan","3498","1286","5008","9173","0.5460"
"Muskegon, Michigan","35962","36640","77114","173408","0.4447"
"Newaygo, Michigan","15174","6212","22605","47938","0.4715"
"Oakland, Michigan","289127","342976","663255","1243970","0.5332"
"Oceana, Michigan","7228","3973","11903","26027","0.4573"
"Ogemaw, Michigan","6827","3030","10386","20904","0.4968"
