name, republican voters, democratic voters, total voters, population, turnout
"Putnam, Georgia","6516","2745","9431","21477","0.4391"
"Quitman, Georgia","575","461","1044","2335","0.4471"
"Rabun, Georgia","6287","1443","7949","16559","0.4800"
"Randolph, Georgia","1270","1597","2895","7177","0.4034"
"Richmond, Georgia","24441","48707","74952","201647","0.3717"
"Rockdale, Georgia","13463","23206","37589","89355","0.4207"
"Schley, Georgia","1472","401","1909","5098","0.3745"
"Screven, Georgia","3305","2300","5699","14044","0.4058"
"Seminole, Georgia","2343","1186","3577","8468","0.4224"
"Spalding, Georgia","15636","9347","25940","64806","0.4003"
"Stephens, Georgia","7682","1835","9760","25751","0.3790"
"Stewart, Georgia","805","1220","2053","5705","0.3599"
"Sumter, Georgia","5275","5520","10973","30389","0.3611"
"Talbot, Georgia","1196","2001","3243","6171","0.5255"
"Taliaferro, Georgia","349","545","897","1593","0.5631"
"Tattnall, Georgia","5092","1678","6879","25092","0.2742"
"Taylor, Georgia","2062","1295","3402","8232","0.4133"
"Telfair, Georgia","2449","1313","3794","15965","0.2376"
"Terrell, Georgia","1872","2267","4179","8967","0.4660"
"Thomas, Georgia","11225","7138","18730","45248","0.4139"
"Tift, Georgia","8680","3892","12796","40828","0.3134"
"Toombs, Georgia","6612","2338","9108","27196","0.3349"
"Towns, Georgia","5377","1206","6726","11391","0.5905"
"Treutlen, Georgia","1808","860","2700","6637","0.4068"
"Troup, Georgia","15643","9597","25793","70005","0.3684"
"Turner, Georgia","2094","1243","3390","8030","0.4222"
"Twiggs, Georgia","2034","1970","4053","8171","0.4960"
"Union, Georgia","9849","1962","12039","22928","0.5251"
"Upson, Georgia","7288","3471","10924","26335","0.4148"
"Walker, Georgia","18938","4213","23939","67896","0.3526"
"Walton, Georgia","31093","8279","40425","90184","0.4483"
"Ware, Georgia","8508","3436","12150","35738","0.3400"
"Warren, Georgia","991","1313","2332","5442","0.4285"
"Washington, Georgia","4138","4187","8422","20457","0.4117"
"Wayne, Georgia","8147","2039","10376","30104","0.3447"
"Webster, Georgia","630","471","1114","2599","0.4286"
"Wheeler, Georgia","1421","646","2102","7978","0.2635"
"White, Georgia","9751","1672","11771","28884","0.4075"
"Whitfield, Georgia","21514","7925","30362","104589","0.2903"
"Wilcox, Georgia","2096","852","2973","8761","0.3393"
"Wilkes, Georgia","2569","1844","4470","9805","0.4559"
"Wilkinson, Georgia","2332","1893","4276","9104","0.4697"
"Worth, Georgia","6144","2015","8266","20748","0.3984"
"Hawaii, Hawaii","17500","41258","64865","198449","0.3269"
"Honolulu, Hawaii","90296","175634","285683","992605","0.2878"
"Kauai, Hawaii","7574","16456","26335","72029","0.3656"
"Maui, Hawaii","13445","33479","51942","165386","0.3141"
"Adair, Iowa","2456","1127","3759","7092","0.5300"
"Adams, Iowa","1393","565","2082","3693","0.5638"
"Allamakee, Iowa","4072","2409","6837","13884","0.4924"
"Appanoose, Iowa","4031","1813","6096","12462","0.4892"
"Audubon, Iowa","2135","1079","3379","5678","0.5951"
"Benton, Iowa","8226","4672","13690","25699","0.5327"
"Black Hawk, Iowa","27382","32006","63221","132904","0.4757"
"Boone, Iowa","7458","5517","13984","26532","0.5271"
"Bremer, Iowa","7199","5349","13350","24798","0.5383"
"Buchanan, Iowa","5504","3966","10137","20992","0.4829"
"Buena Vista, Iowa","4895","2851","8179","20332","0.4023"
"Butler, Iowa","4918","2163","7457","14791","0.5042"
"Calhoun, Iowa","3466","1396","5105","9846","0.5185"
"Carroll, Iowa","6627","3305","10435","20437","0.5106"
"Cass, Iowa","4755","1946","7055","13157","0.5362"
"Cedar, Iowa","5275","3578","9386","18454","0.5086"
"Cerro Gordo, Iowa","11583","9840","22633","43070","0.5255"
"Cherokee, Iowa","4188","1676","6186","11508","0.5375"
